Date,Price
2019-11-17,1763
2019-11-18,1772
2019-11-19,1720
2019-11-20,1694
2019-11-21,1685
2019-11-22,1550
2019-11-23,1443
2019-11-24,1463
2019-11-25,1351
2019-11-26,1411
2019-11-27,1415
2019-11-28,1462
2019-11-29,1442
2019-11-30,1477
2019-12-01,1452
2019-12-02,1446
2019-12-03,1421
2019-12-04,1402
2019-12-05,1383
2019-12-06,1403
2019-12-07,1411
2019-12-08,1397
2019-12-09,1428
2019-12-10,1405
2019-12-11,1382
2019-12-12,1343
2019-12-13,1356
2019-12-14,1359
2019-12-15,1333
2019-12-16,1334
2019-12-17,1244
2019-12-18,1142
2019-12-19,1251
2019-12-20,1205
2019-12-21,1207
2019-12-22,1194
2019-12-23,1243
2019-12-24,1209
2019-12-25,1202
2019-12-26,1175
2019-12-27,1182
2019-12-28,1180
2019-12-29,1196
2019-12-30,1253
2019-12-31,1229
