timestamp,price,total_volumes,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2023-08-14,19924.931330785632,39453413389.47244,19980.493124633747,19970.079695750705,19807.595050658423,19804.427090517795,19912.90801639582,Down
2023-08-15,19912.38912161423,48555467883.20288,19924.931330785632,19980.493124633747,19970.079695750705,19807.595050658423,19804.427090517795,Down
2023-08-16,19848.30950883629,47983831074.91067,19912.38912161423,19924.931330785632,19980.493124633747,19970.079695750705,19807.595050658423,Down
2023-08-17,19762.69568897401,70688880335.14697,19848.30950883629,19912.38912161423,19924.931330785632,19980.493124633747,19970.079695750705,Down
2023-08-18,18325.983535870044,229233330943.9181,19762.69568897401,19848.30950883629,19912.38912161423,19924.931330785632,19980.493124633747,Down
2023-08-19,18208.756894915663,130006817057.88116,18325.983535870044,19762.69568897401,19848.30950883629,19912.38912161423,19924.931330785632,Down
2023-08-20,18302.55225409692,90204732071.11086,18208.756894915663,18325.983535870044,19762.69568897401,19848.30950883629,19912.38912161423,Up
2023-08-21,18459.752425409013,67551792520.788765,18302.55225409692,18208.756894915663,18325.983535870044,19762.69568897401,19848.30950883629,Up
2023-08-22,18245.647444941675,73472235624.14015,18459.752425409013,18302.55225409692,18208.756894915663,18325.983535870044,19762.69568897401,Down
2023-08-23,17874.276036214804,110495455960.92274,18245.647444941675,18459.752425409013,18302.55225409692,18208.756894915663,18325.983535870044,Down
2023-08-24,18322.298774664992,118109092848.71008,17874.276036214804,18245.647444941675,18459.752425409013,18302.55225409692,18208.756894915663,Up
2023-08-25,18256.70818174955,75416791315.73648,18322.298774664992,17874.276036214804,18245.647444941675,18459.752425409013,18302.55225409692,Down
2023-08-26,18274.77556991037,77705303832.00154,18256.70818174955,18322.298774664992,17874.276036214804,18245.647444941675,18459.752425409013,Up
2023-08-27,18191.611894706806,25674645354.368263,18274.77556991037,18256.70818174955,18322.298774664992,17874.276036214804,18245.647444941675,Down
2023-08-28,18318.090302614728,28444530130.697487,18191.611894706806,18274.77556991037,18256.70818174955,18322.298774664992,17874.276036214804,Up
2023-08-29,18137.886216798124,52436652439.43438,18318.090302614728,18191.611894706806,18274.77556991037,18256.70818174955,18322.298774664992,Down
2023-08-30,18821.39372741505,171856412220.1365,18137.886216798124,18318.090302614728,18191.611894706806,18274.77556991037,18256.70818174955,Up
2023-08-31,18477.88991641589,81529743682.33235,18821.39372741505,18137.886216798124,18318.090302614728,18191.611894706806,18274.77556991037,Down
2023-09-01,18016.440466191583,123522311848.00998,18477.88991641589,18821.39372741505,18137.886216798124,18318.090302614728,18191.611894706806,Down
2023-09-02,17998.790879927314,101857146782.60092,18016.440466191583,18477.88991641589,18821.39372741505,18137.886216798124,18318.090302614728,Down
2023-09-03,18060.121968299976,36012039716.10478,17998.790879927314,18016.440466191583,18477.88991641589,18821.39372741505,18137.886216798124,Up
2023-09-04,18055.88153529289,50150903788.5464,18060.121968299976,17998.790879927314,18016.440466191583,18477.88991641589,18821.39372741505,Down
2023-09-05,17934.815810086693,64961592311.98994,18055.88153529289,18060.121968299976,17998.790879927314,18016.440466191583,18477.88991641589,Down
2023-09-06,18127.914123622453,69028735364.12935,17934.815810086693,18055.88153529289,18060.121968299976,17998.790879927314,18016.440466191583,Up
2023-09-07,18145.722809988933,80526842868.16388,18127.914123622453,17934.815810086693,18055.88153529289,18060.121968299976,17998.790879927314,Up
2023-09-08,18346.275674461136,76161916636.0587,18145.722809988933,18127.914123622453,17934.815810086693,18055.88153529289,18060.121968299976,Up
2023-09-09,18208.041106218094,78751720111.52853,18346.275674461136,18145.722809988933,18127.914123622453,17934.815810086693,18055.88153529289,Down
2023-09-10,18186.806933599262,28802673331.21878,18208.041106218094,18346.275674461136,18145.722809988933,18127.914123622453,17934.815810086693,Down
2023-09-11,17965.78778349671,74223263794.67493,18186.806933599262,18208.041106218094,18346.275674461136,18145.722809988933,18127.914123622453,Down
2023-09-12,17183.22046336779,136197746970.7808,17965.78778349671,18186.806933599262,18208.041106218094,18346.275674461136,18145.722809988933,Down
2023-09-13,17699.06519782866,125287640932.14056,17183.22046336779,17965.78778349671,18186.806933599262,18208.041106218094,18346.275674461136,Up
2023-09-14,17893.964741748867,87088716617.45221,17699.06519782866,17183.22046336779,17965.78778349671,18186.806933599262,18208.041106218094,Up
2023-09-15,18198.310066490056,93987007965.56236,17893.964741748867,17699.06519782866,17183.22046336779,17965.78778349671,18186.806933599262,Up
2023-09-16,18337.94834789732,75884420623.41254,18198.310066490056,17893.964741748867,17699.06519782866,17183.22046336779,17965.78778349671,Up
2023-09-17,18254.01848561234,48038454238.25466,18337.94834789732,18198.310066490056,17893.964741748867,17699.06519782866,17183.22046336779,Down
2023-09-18,18115.050179880123,50359975325.0518,18254.01848561234,18337.94834789732,18198.310066490056,17893.964741748867,17699.06519782866,Down
2023-09-19,18238.333665582883,110785657487.69254,18115.050179880123,18254.01848561234,18337.94834789732,18198.310066490056,17893.964741748867,Up
2023-09-20,18340.904715914046,78767160883.73506,18238.333665582883,18115.050179880123,18254.01848561234,18337.94834789732,18198.310066490056,Up
2023-09-21,18084.543559469967,97258139979.52196,18340.904715914046,18238.333665582883,18115.050179880123,18254.01848561234,18337.94834789732,Down
2023-09-22,17695.925767622528,97085988262.4913,18084.543559469967,18340.904715914046,18238.333665582883,18115.050179880123,18254.01848561234,Down
2023-09-23,17746.317753076146,56046852777.14883,17695.925767622528,18084.543559469967,18340.904715914046,18238.333665582883,18115.050179880123,Up
2023-09-24,17743.08605729399,30483451251.393463,17746.317753076146,17695.925767622528,18084.543559469967,18340.904715914046,18238.333665582883,Down
2023-09-25,17581.990455364565,44710959083.61682,17743.08605729399,17746.317753076146,17695.925767622528,18084.543559469967,18340.904715914046,Down
2023-09-26,17578.288979108107,65100306981.61587,17581.990455364565,17743.08605729399,17746.317753076146,17695.925767622528,18084.543559469967,Down
2023-09-27,17527.316344952273,52166269569.86711,17578.288979108107,17581.990455364565,17743.08605729399,17746.317753076146,17695.925767622528,Down
2023-09-28,17672.39309552165,63360815811.139885,17527.316344952273,17578.288979108107,17581.990455364565,17743.08605729399,17746.317753076146,Up
2023-09-29,18052.211745861467,143375048539.21893,17672.39309552165,17527.316344952273,17578.288979108107,17581.990455364565,17743.08605729399,Up
2023-09-30,18214.104630809165,121156150350.57184,18052.211745861467,17672.39309552165,17527.316344952273,17578.288979108107,17581.990455364565,Up
2023-10-01,18246.974397076963,59628033156.09975,18214.104630809165,18052.211745861467,17672.39309552165,17527.316344952273,17578.288979108107,Up
2023-10-02,18940.574977026085,94445400142.39072,18246.974397076963,18214.104630809165,18052.211745861467,17672.39309552165,17527.316344952273,Up
2023-10-03,18410.704982892712,159544835645.56516,18940.574977026085,18246.974397076963,18214.104630809165,18052.211745861467,17672.39309552165,Down
2023-10-04,18350.272216853195,80325389709.18718,18410.704982892712,18940.574977026085,18246.974397076963,18214.104630809165,18052.211745861467,Down
2023-10-05,18245.18418075872,90497412624.86656,18350.272216853195,18410.704982892712,18940.574977026085,18246.974397076963,18214.104630809165,Down
2023-10-06,17762.19810170696,96764833712.95412,18245.18418075872,18350.272216853195,18410.704982892712,18940.574977026085,18246.974397076963,Down
