timestamp,open,high,low,close
2023-03-28,18499.0,18580.0,17657.0,17828.0
2023-04-01,17802.0,19094.0,17694.0,18931.0
2023-04-05,18929.0,19438.0,18385.0,19226.0
2023-04-09,19240.0,19932.0,19193.0,19385.0
2023-04-13,19386.0,20317.0,19204.0,19843.0
2023-04-17,19837.0,22054.0,19663.0,21899.0
2023-04-21,21918.0,21918.0,19859.0,20032.0
2023-04-25,20025.0,20128.0,18690.0,18873.0
2023-04-29,18867.0,20240.0,18587.0,19442.0
2023-05-03,19425.0,19890.0,18708.0,19275.0
2023-05-07,19293.0,20383.0,18920.0,19283.0
2023-05-11,19284.0,19724.0,18434.0,18833.0
2023-05-15,18819.0,19088.0,18029.0,18695.0
2023-05-19,18704.0,19260.0,18590.0,19045.0
2023-05-23,19039.0,19441.0,18841.0,19212.0
2023-05-27,19210.0,19861.0,18965.0,19776.0
2023-05-31,19774.0,20796.0,19666.0,20659.0
2023-06-04,20661.0,20763.0,20028.0,20437.0
2023-06-08,20447.0,20700.0,19469.0,19956.0
2023-06-12,19955.0,20123.0,18683.0,18962.0
2023-06-16,18967.0,19010.0,17343.0,17658.0
2023-06-20,17666.0,18726.0,17572.0,18637.0
2023-06-24,18639.0,20709.0,18481.0,20274.0
2023-06-28,20285.0,20639.0,19782.0,20279.0
2023-07-02,20266.0,20954.0,19690.0,20774.0
2023-07-06,20770.0,21412.0,20591.0,20927.0
2023-07-10,20923.0,21452.0,19963.0,20201.0
2023-07-14,20165.0,20534.0,19185.0,20441.0
2023-07-18,20453.0,20649.0,19272.0,19588.0
2023-07-22,19588.0,19778.0,19271.0,19649.0
2023-07-26,19645.0,19795.0,19141.0,19270.0
2023-07-30,19270.0,19889.0,19179.0,19840.0
2023-08-03,19843.0,19856.0,19224.0,19678.0
2023-08-07,19690.0,19827.0,19258.0,19350.0
2023-08-11,19356.0,20101.0,19138.0,19808.0
2023-08-15,19818.0,20150.0,19722.0,19912.0
2023-08-19,19919.0,19998.0,17201.0,18209.0
2023-08-23,18214.0,18561.0,17463.0,17874.0
2023-08-27,17859.0,18437.0,17789.0,18192.0
2023-08-31,18193.0,18943.0,18012.0,18478.0
2023-09-04,18480.0,18729.0,17728.0,18056.0
2023-09-08,18058.0,18482.0,17763.0,18346.0
2023-09-12,18346.0,18390.0,17057.0,17183.0
2023-09-16,17213.0,18459.0,17188.0,18338.0
2023-09-20,18328.0,18736.0,17988.0,18341.0
2023-09-24,18337.0,18423.0,17628.0,17743.0
2023-09-28,17747.0,17995.0,17247.0,17672.0
2023-10-02,17678.0,18963.0,17666.0,18941.0
2023-10-06,18954.0,19071.0,17754.0,17762.0
2023-10-10,17748.0,18170.0,17178.0,17304.0
2023-10-14,17297.0,17501.0,16733.0,16986.0
2023-10-18,17001.0,17846.0,16928.0,17084.0
2023-10-22,17088.0,18002.0,17039.0,17884.0
2023-10-26,17883.0,20474.0,17827.0,19908.0
2023-10-30,19923.0,20818.0,19561.0,20057.0
2023-11-03,20055.0,20873.0,19849.0,20018.0
2023-11-07,20019.0,20856.0,19623.0,20731.0
2023-11-11,20762.0,23301.0,20289.0,22657.0
2023-11-15,22647.0,22933.0,20806.0,20973.0
2023-11-19,20953.0,22003.0,20192.0,20792.0
2023-11-23,20794.0,21880.0,20285.0,21650.0
2023-11-27,21629.0,22277.0,21311.0,21590.0
2023-12-01,21578.0,21691.0,20705.0,21533.0
2023-12-05,21544.0,23656.0,21438.0,23393.0
2023-12-09,23406.0,24864.0,22865.0,24701.0
2023-12-13,24682.0,25111.0,22671.0,22957.0
2023-12-17,22971.0,23885.0,22523.0,22884.0
2023-12-21,22877.0,23149.0,21725.0,22370.0
2023-12-25,22402.0,23443.0,22202.0,22654.0
2023-12-29,22659.0,24243.0,21969.0,23411.0
2024-01-02,23415.0,23926.0,22840.0,23657.0
2024-01-06,23678.0,24533.0,21997.0,23245.0
2024-01-10,23242.0,24255.0,22278.0,24005.0
2024-01-14,24038.0,27640.0,24023.0,26283.0
2024-01-18,26300.0,27243.0,25414.0,26409.0
2024-01-22,26423.0,26632.0,25310.0,25686.0
2024-01-26,25674.0,25756.0,22652.0,23178.0
2024-01-30,23154.0,24237.0,22975.0,24176.0
2024-02-03,24199.0,24823.0,23379.0,24403.0
2024-02-07,24404.0,25084.0,23856.0,24930.0
2024-02-11,24921.0,26516.0,24676.0,26315.0
2024-02-15,26333.0,29314.0,25816.0,29248.0
2024-02-19,29247.0,30216.0,28507.0,29973.0
2024-02-23,29977.0,31329.0,29823.0,30694.0
2024-02-27,30674.0,32957.0,30026.0,32628.0
2024-03-02,32687.0,36373.0,32579.0,35552.0
2024-03-06,35566.0,39684.0,34892.0,37186.0
2024-03-10,36897.0,40815.0,36445.0,40458.0
2024-03-14,40444.0,41826.0,38788.0,40970.0
2024-03-18,40949.0,41015.0,35539.0,37766.0
2024-03-22,37777.0,37777.0,32066.0,36564.0
2024-03-26,36549.0,38545.0,34428.0,37952.0
