timestamp,price,total_volumes,Lag1,Lag2,Lag3,Lag4,Lag5
2023-04-03,18740.02384652488,69631611642.12941,18920.009442017013,18930.591627629896,18571.75386297492,18663.820127481824,18390.541155659757
2023-04-04,18766.025877976128,115485860595.52373,18740.02384652488,18920.009442017013,18930.591627629896,18571.75386297492,18663.820127481824
2023-04-05,19226.136785088445,118978552956.53397,18766.025877976128,18740.02384652488,18920.009442017013,18930.591627629896,18571.75386297492
2023-04-06,19903.910847665476,120656982278.1632,19226.136785088445,18766.025877976128,18740.02384652488,18920.009442017013,18930.591627629896
2023-04-07,19524.35007773724,96028049948.355,19903.910847665476,19226.136785088445,18766.025877976128,18740.02384652488,18920.009442017013
2023-04-08,19548.384472031677,97374637671.66026,19524.35007773724,19903.910847665476,19226.136785088445,18766.025877976128,18740.02384652488
2023-04-09,19384.75794265283,62522714830.04572,19548.384472031677,19524.35007773724,19903.910847665476,19226.136785088445,18766.025877976128
2023-04-10,19472.89883660249,77533652414.50237,19384.75794265283,19548.384472031677,19524.35007773724,19903.910847665476,19226.136785088445
2023-04-11,20076.68022461805,101332905315.24498,19472.89883660249,19384.75794265283,19548.384472031677,19524.35007773724,19903.910847665476
2023-04-12,19777.804330637224,107045650632.96146,20076.68022461805,19472.89883660249,19384.75794265283,19548.384472031677,19524.35007773724
2023-04-13,19843.20075974348,135911696301.07104,19777.804330637224,20076.68022461805,19472.89883660249,19384.75794265283,19548.384472031677
2023-04-14,20665.267857468323,143290400099.82068,19843.20075974348,19777.804330637224,20076.68022461805,19472.89883660249,19384.75794265283
2023-04-15,21726.16795513116,184927227092.17645,20665.267857468323,19843.20075974348,19777.804330637224,20076.68022461805,19472.89883660249
2023-04-16,21624.92000225674,95799490079.59164,21726.16795513116,20665.267857468323,19843.20075974348,19777.804330637224,20076.68022461805
2023-04-17,21899.27985046997,91785681852.86736,21624.92000225674,21726.16795513116,20665.267857468323,19843.20075974348,19777.804330637224
2023-04-18,21510.80427165342,112018347859.27287,21899.27985046997,21624.92000225674,21726.16795513116,20665.267857468323,19843.20075974348
2023-04-19,21680.187871139235,104326681816.41626,21510.80427165342,21899.27985046997,21624.92000225674,21726.16795513116,20665.267857468323
2023-04-20,20058.2355294794,162581284777.13556,21680.187871139235,21510.80427165342,21899.27985046997,21624.92000225674,21726.16795513116
2023-04-21,20031.70200799981,128041731450.13837,20058.2355294794,21680.187871139235,21510.80427165342,21899.27985046997,21624.92000225674
2023-04-22,19039.33591320207,138178169112.793,20031.70200799981,20058.2355294794,21680.187871139235,21510.80427165342,21899.27985046997
2023-04-23,19321.214544678816,80365191424.4179,19039.33591320207,20031.70200799981,20058.2355294794,21680.187871139235,21510.80427165342
2023-04-24,19200.054671622333,75984528578.60301,19321.214544678816,19039.33591320207,20031.70200799981,20058.2355294794,21680.187871139235
2023-04-25,18872.758935486327,94002884683.94264,19200.054671622333,19321.214544678816,19039.33591320207,20031.70200799981,20058.2355294794
2023-04-26,19277.78331037468,99654996404.15732,18872.758935486327,19200.054671622333,19321.214544678816,19039.33591320207,20031.70200799981
2023-04-27,19269.627910386174,166501039764.9064,19277.78331037468,18872.758935486327,19200.054671622333,19321.214544678816,19039.33591320207
2023-04-28,19657.16359347087,178078702388.64587,19269.627910386174,19277.78331037468,18872.758935486327,19200.054671622333,19321.214544678816
2023-04-29,19442.136539963136,90860589203.8196,19657.16359347087,19269.627910386174,19277.78331037468,18872.758935486327,19200.054671622333
2023-04-30,19553.444491109454,54002953697.24482,19442.136539963136,19657.16359347087,19269.627910386174,19277.78331037468,18872.758935486327
2023-05-01,19352.266149717503,75217793814.93828,19553.444491109454,19442.136539963136,19657.16359347087,19269.627910386174,19277.78331037468
2023-05-02,18938.294273767067,99958914935.08026,19352.266149717503,19553.444491109454,19442.136539963136,19657.16359347087,19269.627910386174
2023-05-03,19274.66598248737,85905413583.66031,18938.294273767067,19352.266149717503,19553.444491109454,19442.136539963136,19657.16359347087
2023-05-04,19521.706691584644,90812148401.30368,19274.66598248737,18938.294273767067,19352.266149717503,19553.444491109454,19442.136539963136
2023-05-05,19205.7954513755,73209892053.75745,19521.706691584644,19274.66598248737,18938.294273767067,19352.266149717503,19553.444491109454
2023-05-06,20229.200731504014,108188049756.6498,19205.7954513755,19521.706691584644,19274.66598248737,18938.294273767067,19352.266149717503
2023-05-07,19283.47585036711,112996304140.9296,20229.200731504014,19205.7954513755,19521.706691584644,19274.66598248737,18938.294273767067
2023-05-08,19280.845312404654,63419885371.96728,19283.47585036711,20229.200731504014,19205.7954513755,19521.706691584644,19274.66598248737
2023-05-09,18807.96809233016,116920435932.65756,19280.845312404654,19283.47585036711,20229.200731504014,19205.7954513755,19521.706691584644
2023-05-10,18816.848124231823,64960278575.06136,18807.96809233016,19280.845312404654,19283.47585036711,20229.200731504014,19205.7954513755
2023-05-11,18832.98029195494,107008674434.10446,18816.848124231823,18807.96809233016,19280.845312404654,19283.47585036711,20229.200731504014
2023-05-12,18572.427173024415,95211254214.2472,18832.98029195494,18816.848124231823,18807.96809233016,19280.845312404654,19283.47585036711
2023-05-13,18862.156675973514,109822280045.54002,18572.427173024415,18832.98029195494,18816.848124231823,18807.96809233016,19280.845312404654
2023-05-14,18670.745855366054,53504526415.16323,18862.156675973514,18572.427173024415,18832.98029195494,18816.848124231823,18807.96809233016
2023-05-15,18695.11807946124,51075226796.86591,18670.745855366054,18862.156675973514,18572.427173024415,18832.98029195494,18816.848124231823
2023-05-16,18832.23063256276,79209893753.7416,18695.11807946124,18670.745855366054,18862.156675973514,18572.427173024415,18832.98029195494
2023-05-17,18981.751537826694,65401599704.15614,18832.23063256276,18695.11807946124,18670.745855366054,18862.156675973514,18572.427173024415
2023-05-18,19026.883346636976,69459726025.114,18981.751537826694,18832.23063256276,18695.11807946124,18670.745855366054,18862.156675973514
2023-05-19,19045.13525825665,65198138065.710144,19026.883346636976,18981.751537826694,18832.23063256276,18695.11807946124,18670.745855366054
2023-05-20,19239.81908699459,54070039058.44844,19045.13525825665,19026.883346636976,18981.751537826694,18832.23063256276,18695.11807946124
2023-05-21,19312.417857731343,33103644098.18512,19239.81908699459,19045.13525825665,19026.883346636976,18981.751537826694,18832.23063256276
2023-05-22,18974.18866800149,40324283225.14391,19312.417857731343,19239.81908699459,19045.13525825665,19026.883346636976,18981.751537826694
2023-05-23,19211.50239249551,54764709528.40625,18974.18866800149,19312.417857731343,19239.81908699459,19045.13525825665,19026.883346636976
2023-05-24,19698.762269222447,80079782493.12625,19211.50239249551,18974.18866800149,19312.417857731343,19239.81908699459,19045.13525825665
2023-05-25,19293.341318930237,85714627290.30115,19698.762269222447,19211.50239249551,18974.18866800149,19312.417857731343,19239.81908699459
2023-05-26,19544.985154261394,80734768349.53008,19293.341318930237,19698.762269222447,19211.50239249551,18974.18866800149,19312.417857731343
2023-05-27,19776.32413481548,67534709286.3798,19544.985154261394,19293.341318930237,19698.762269222447,19211.50239249551,18974.18866800149
2023-05-28,19790.922790024524,43988801784.0429,19776.32413481548,19544.985154261394,19293.341318930237,19698.762269222447,19211.50239249551
2023-05-29,20674.683265643347,78075348656.49376,19790.922790024524,19776.32413481548,19544.985154261394,19293.341318930237,19698.762269222447
2023-05-30,20499.078274166277,73197740428.5266,20674.683265643347,19790.922790024524,19776.32413481548,19544.985154261394,19293.341318930237
2023-05-31,20659.01229332296,65413422694.49094,20499.078274166277,20674.683265643347,19790.922790024524,19776.32413481548,19544.985154261394
2023-06-01,20324.61145362952,64296471559.33596,20659.01229332296,20499.078274166277,20674.683265643347,19790.922790024524,19776.32413481548
2023-06-02,20122.04926523826,67421224699.92349,20324.61145362952,20659.01229332296,20499.078274166277,20674.683265643347,19790.922790024524
2023-06-03,20599.991009544952,74640852310.88068,20122.04926523826,20324.61145362952,20659.01229332296,20499.078274166277,20674.683265643347
2023-06-04,20437.09321526646,41024981308.83538,20599.991009544952,20122.04926523826,20324.61145362952,20659.01229332296,20499.078274166277
2023-06-05,20480.64875034988,46239138926.02157,20437.09321526646,20599.991009544952,20122.04926523826,20324.61145362952,20659.01229332296
2023-06-06,19685.450394220527,118171001323.85266,20480.64875034988,20437.09321526646,20599.991009544952,20122.04926523826,20324.61145362952
2023-06-07,20562.18416023445,104166635831.03609,19685.450394220527,20480.64875034988,20437.09321526646,20599.991009544952,20122.04926523826
2023-06-08,19955.61827162484,92290669995.3826,20562.18416023445,19685.450394220527,20480.64875034988,20437.09321526646,20599.991009544952
2023-06-09,19937.692596486784,52433520109.86471,19955.61827162484,20562.18416023445,19685.450394220527,20480.64875034988,20437.09321526646
2023-06-10,19913.381034252143,55149894460.2559,19937.692596486784,19955.61827162484,20562.18416023445,19685.450394220527,20480.64875034988
2023-06-11,18995.56596880502,448377226092.553,19913.381034252143,19937.692596486784,19955.61827162484,20562.18416023445,19685.450394220527
2023-06-12,18962.147239846046,54468849595.29067,18995.56596880502,19913.381034252143,19937.692596486784,19955.61827162484,20562.18416023445
2023-06-13,18861.737691257425,72861248677.85898,18962.147239846046,18995.56596880502,19913.381034252143,19937.692596486784,19955.61827162484
2023-06-14,18560.7474089628,72658183445.79381,18861.737691257425,18962.147239846046,18995.56596880502,19913.381034252143,19937.692596486784
2023-06-15,17678.49785732167,85952657377.2488,18560.7474089628,18861.737691257425,18962.147239846046,18995.56596880502,19913.381034252143
2023-06-16,17658.144914354725,87848876148.4515,17678.49785732167,18560.7474089628,18861.737691257425,18962.147239846046,18995.56596880502
2023-06-17,18283.70898684168,74661237484.98402,17658.144914354725,17678.49785732167,18560.7474089628,18861.737691257425,18962.147239846046
2023-06-18,18390.18635570204,51767855027.09272,18283.70898684168,17658.144914354725,17678.49785732167,18560.7474089628,18861.737691257425
2023-06-19,18304.413641298965,43488579437.64706,18390.18635570204,18283.70898684168,17658.144914354725,17678.49785732167,18560.7474089628
2023-06-20,18637.420096146605,61999468945.01026,18304.413641298965,18390.18635570204,18283.70898684168,17658.144914354725,17678.49785732167
2023-06-21,19311.41980178001,85222899798.71793,18637.420096146605,18304.413641298965,18390.18635570204,18283.70898684168,17658.144914354725
2023-06-22,20159.115434974014,130937828754.16188,19311.41980178001,18637.420096146605,18304.413641298965,18390.18635570204,18283.70898684168
2023-06-23,20036.326655154106,105220310155.32666,20159.115434974014,19311.41980178001,18637.420096146605,18304.413641298965,18390.18635570204
2023-06-24,20273.731888816084,99724506859.90456,20036.326655154106,20159.115434974014,19311.41980178001,18637.420096146605,18304.413641298965
2023-06-25,20096.330153960967,52400753389.9945,20273.731888816084,20036.326655154106,20159.115434974014,19311.41980178001,18637.420096146605
2023-06-26,20364.556627697628,78962886194.88632,20096.330153960967,20273.731888816084,20036.326655154106,20159.115434974014,19311.41980178001
2023-06-27,19949.914575266277,106124127207.8698,20364.556627697628,20096.330153960967,20273.731888816084,20036.326655154106,20159.115434974014
2023-06-28,20278.619399276275,94487366094.4884,19949.914575266277,20364.556627697628,20096.330153960967,20273.731888816084,20036.326655154106
2023-06-29,19701.876274301536,73504957997.03162,20278.619399276275,19949.914575266277,20364.556627697628,20096.330153960967,20273.731888816084
2023-06-30,20137.00979580756,71808281433.73465,19701.876274301536,20278.619399276275,19949.914575266277,20364.556627697628,20096.330153960967
2023-07-01,20875.896035170197,126238279365.55904,20137.00979580756,19701.876274301536,20278.619399276275,19949.914575266277,20364.556627697628
2023-07-02,20773.586341201368,62211004797.08342,20875.896035170197,20137.00979580756,19701.876274301536,20278.619399276275,19949.914575266277
2023-07-03,20870.34159766609,77521794643.06943,20773.586341201368,20875.896035170197,20137.00979580756,19701.876274301536,20278.619399276275
2023-07-04,21192.24382866535,99304624798.98769,20870.34159766609,20773.586341201368,20875.896035170197,20137.00979580756,19701.876274301536
2023-07-05,20967.64220637598,65677066252.93693,21192.24382866535,20870.34159766609,20773.586341201368,20875.896035170197,20137.00979580756
2023-07-06,20926.71937099341,89610413614.82602,20967.64220637598,21192.24382866535,20870.34159766609,20773.586341201368,20875.896035170197
2023-07-07,20285.1543422084,148071685635.8665,20926.71937099341,20967.64220637598,21192.24382866535,20870.34159766609,20773.586341201368
2023-07-08,20228.25514549991,96066385488.4812,20285.1543422084,20926.71937099341,20967.64220637598,21192.24382866535,20870.34159766609
