timestamp,price,total_volumes,Lag1,Lag2,Lag3,Lag4,Lag5
2023-04-03,18740.02384652488,69631611642.12941,8.225784108174672,-35.047697759934834,-38.6560327393238,-35.559409053521804,-29.570819569299967
2023-04-04,18766.025877976128,115485860595.52373,65.85263197563418,79.49531141967532,7.7251027939168715,1.7405842601028176,6.8764161453863215
2023-04-05,19226.136785088445,118978552956.53397,3.0243463078506228,70.86858992726235,84.92387124336125,10.983082962892986,4.817571863758885
2023-04-06,19903.910847665476,120656982278.1632,1.410699054511455,4.477709787132067,73.27903150982327,87.53259054655732,12.548720264918177
2023-04-07,19524.35007773724,96028049948.355,-20.41235564223589,-19.289613495772972,-16.848651901480416,37.90869934461616,49.25277121909601
2023-04-08,19548.384472031677,97374637671.66026,1.4022858154773221,-19.29630939453442,-18.157823194207268,-15.682632341716696,39.842573473834996
2023-04-09,19384.75794265283,62522714830.04572,-35.79158154008493,-34.89119599567921,-48.181436623447496,-47.45043263983305,-45.86115173958436
2023-04-10,19472.89883660249,77533652414.50237,24.008774451430305,-20.37592717321338,-19.25937009425801,-35.74043461839953,-34.83392553712813
2023-04-11,20076.68022461805,101332905315.24498,30.695384725989072,62.07374486328088,4.064988315470486,5.524276885496482,-16.01571380126878
2023-04-12,19777.804330637224,107045650632.96146,5.637601428622041,38.06346960244451,71.21081661911445,9.931757583438827,11.473315026736298
2023-04-13,19843.20075974348,135911696301.07104,26.966107915103986,34.12395102879171,75.29381380677648,117.37971019095563,39.576073966359445
2023-04-14,20665.267857468323,143290400099.82068,5.429042532442807,33.859151915602204,41.40559737633755,84.81058951508749,129.18134711412353
2023-04-15,21726.16795513116,184927227092.17645,29.057652824857925,36.06424768809185,72.75547955353707,82.49474493687015,138.5122089999549
2023-04-16,21624.92000225674,95799490079.59164,-48.19611390601739,-33.14312053504307,-29.51343211302654,-10.505948150972234,-5.460630205399686
2023-04-17,21899.27985046997,91785681852.86736,-4.189801243607416,-50.36659376982004,-35.94429090230293,-32.46667921093114,-14.255571048297465
2023-04-18,21510.80427165342,112018347859.27287,22.043379313604184,16.930004289382296,-39.42571376823941,-21.82424797387871,-17.58005314632357
2023-04-19,21680.187871139235,104326681816.41626,-6.866434106419373,13.663351091788112,8.901082594218511,-43.58500721777712,-27.192134473950137
2023-04-20,20058.2355294794,162581284777.13556,55.8386425662708,45.138084862119385,77.1314234367771,69.70996885480352,-12.083641044324223
2023-04-21,20031.70200799981,128041731450.13837,-21.244482951616227,22.731528714249237,14.304249167284144,39.50076838279584,33.65596345425157
2023-04-22,19039.33591320207,138178169112.793,7.91651092800314,-15.009793838075558,32.447583597018095,23.353157543784132,50.54436195646823
2023-04-23,19321.214544678816,80365191424.4179,-41.83944400159416,-37.23515723019298,-50.56922355203336,-22.96774897352091,-28.25711773094566
2023-04-24,19200.054671622333,75984528578.60301,-5.450945575031474,-45.00974425520297,-40.65643464982923,-53.2636682735275,-27.1667350521959
2023-04-25,18872.758935486327,94002884683.94264,23.713190622351952,16.969651932392615,-31.9698000867204,-26.58418187624324,-42.180992841334316
2023-04-26,19277.78331037468,99654996404.15732,6.012700290228601,31.151693993953167,24.002686533610973,-27.879348059091534,-22.16990876684242
2023-04-27,19269.627910386174,166501039764.9064,67.07746302016871,77.12333012408898,119.12492303307194,107.18054273720958,20.49735557647592
2023-04-28,19657.16359347087,178078702388.64587,6.953507701865846,78.69520727935819,89.43961452606877,134.36179143288422,121.58685773320892
2023-04-29,19442.136539963136,90860589203.8196,-48.97728477068419,-45.42941633751264,-8.824853261417454,-3.342764948850352,19.57774944912356
2023-04-30,19553.444491109454,54002953697.24482,-40.56504126766697,-69.67467025934036,-67.56599612020737,-45.81008916177937,-42.55181223553507
2023-05-01,19352.266149717503,75217793814.93828,39.28459216625371,-17.216260125488738,-57.76148814765057,-54.82442997284392,-24.521803693727882
2023-05-02,18938.294273767067,99958914935.08026,32.8926439680133,85.0989771697989,10.013500694840527,-43.868124826670154,-39.96499056329094
2023-05-03,19274.66598248737,85905413583.66031,-14.059277614755217,14.208898222962052,59.07539810742448,-5.453602781557776,-51.75986098765646
2023-05-04,19521.706691584644,90812148401.30368,5.7117876661694655,-9.15052603333788,20.732267985329234,68.16144707643433,-0.053313326427206764
2023-05-05,19205.7954513755,73209892053.75745,-19.38315154681831,-14.77848834001495,-26.760017251783243,-2.6694504841779376,35.56645894628638
2023-05-06,20229.200731504014,108188049756.6498,47.77791186634745,19.133895256569744,25.938570392061735,8.232517156587837,43.833053682523214
2023-05-07,19283.47585036711,112996304140.9296,4.444348886124794,54.34567784631796,24.428621203402166,31.535719842482802,13.042747827261492
2023-05-08,19280.845312404654,63419885371.96728,-43.874371950369586,-41.37995322531529,-13.372518941294764,-30.163654876094938,-26.174751128804186
2023-05-09,18807.96809233016,116920435932.65756,84.3592672028677,3.472796585305815,8.071488667787019,59.705789276131995,28.749774111697015
2023-05-10,18816.848124231823,64960278575.06136,-44.44061206504873,2.4288804592746294,-42.51114753802695,-39.956142363987325,-11.26844098149804
2023-05-11,18832.98029195494,107008674434.10446,64.72939584219353,-8.477355921134233,68.73047594848572,-5.298960662781793,-1.0901160758495343
2023-05-12,18572.427173024415,95211254214.2472,-11.024732604385335,46.56842042977223,-18.56748270329249,50.12839215305846,-15.739497023283866
2023-05-13,18862.156675973514,109822280045.54002,15.345902069953476,2.6293247966249433,69.06066669440276,-6.0709283458418195,73.16694819206253
2023-05-14,18670.745855366054,53504526415.16323,-51.28080896428621,-43.80440961867201,-49.999823193669116,-17.63501082690255,-54.23851614273818
