Date,Price
2018-11-16,1655
2018-11-17,1585
2018-11-18,1582
2018-11-19,1600
2018-11-20,1353
2018-11-21,1196
2018-11-22,1239
2018-11-23,1140
2018-11-24,1129
2018-11-25,1039
2018-11-26,1069
2018-11-27,995
2018-11-28,1005
2018-11-29,1107
2018-11-30,1068
2018-12-01,1033
2018-12-02,1076
2018-12-03,1052
2018-12-04,980
2018-12-05,991
2018-12-06,920
2018-12-07,819
2018-12-08,841
2018-12-09,820
2018-12-10,845
2018-12-11,817
2018-12-12,798
2018-12-13,812
2018-12-14,778
2018-12-15,759
2018-12-16,760
2018-12-17,765
2018-12-18,852
2018-12-19,906
2018-12-20,904
2018-12-21,1026
2018-12-22,975
2018-12-23,1040
2018-12-24,1169
2018-12-25,1258
2018-12-26,1156
2018-12-27,1178
2018-12-28,1029
2018-12-29,1201
2018-12-30,1243
2018-12-31,1236
2019-01-01,1174
2019-01-02,1226
2019-01-03,1382
2019-01-04,1321
2019-01-05,1372
2019-01-06,1378
2019-01-07,1385
2019-01-08,1333
2019-01-09,1321
2019-01-10,1319
2019-01-11,1127
2019-01-12,1114
2019-01-13,1106
2019-01-14,1026
2019-01-15,1140
2019-01-16,1075
2019-01-17,1099
2019-01-18,1100
2019-01-19,1076
2019-01-20,1110
2019-01-21,1062
2019-01-22,1044
2019-01-23,1063
2019-01-24,1050
2019-01-25,1055
2019-01-26,1042
2019-01-27,1043
2019-01-28,1018
2019-01-29,954
2019-01-30,948
2019-01-31,978
2019-02-01,962
2019-02-02,969
2019-02-03,985
2019-02-04,971
2019-02-05,980
2019-02-06,978
2019-02-07,962
2019-02-08,965
2019-02-09,1107
2019-02-10,1108
2019-02-11,1158
2019-02-12,1126
2019-02-13,1134
2019-02-14,1132
2019-02-15,1120
2019-02-16,1127
2019-02-17,1140
2019-02-18,1242
2019-02-19,1345
2019-02-20,1338
2019-02-21,1386
2019-02-22,1361
2019-02-23,1384
2019-02-24,1474
2019-02-25,1253
2019-02-26,1283
2019-02-27,1262
2019-02-28,1250
