timestamp,price,total_volumes
2023-03-29,18390.541155659754,98867559179.74168
2023-03-30,18663.820127481824,108055513798.69044
2023-03-31,18571.75386297492,113510121290.71394
2023-04-01,18930.591627629896,107204224085.49802
2023-04-02,18920.009442017013,64339207348.71339
2023-04-03,18740.02384652488,69631611642.12941
2023-04-04,18766.025877976128,115485860595.52373
2023-04-05,19226.136785088445,118978552956.53397
2023-04-06,19903.910847665473,120656982278.16321
2023-04-07,19524.350077737236,96028049948.35501
2023-04-08,19548.384472031674,97374637671.66026
2023-04-09,19384.75794265283,62522714830.04572
2023-04-10,19472.89883660249,77533652414.50237
2023-04-11,20076.680224618052,101332905315.24498
2023-04-12,19777.804330637224,107045650632.96146
2023-04-13,19843.20075974348,135911696301.07103
2023-04-14,20665.267857468323,143290400099.82068
2023-04-15,21726.167955131157,184927227092.17645
2023-04-16,21624.92000225674,95799490079.59164
2023-04-17,21899.279850469975,91785681852.86737
2023-04-18,21510.80427165342,112018347859.27289
2023-04-19,21680.187871139235,104326681816.41626
2023-04-20,20058.235529479396,162581284777.13556
2023-04-21,20031.70200799981,128041731450.13837
2023-04-22,19039.33591320207,138178169112.793
2023-04-23,19321.214544678816,80365191424.4179
2023-04-24,19200.054671622333,75984528578.60301
2023-04-25,18872.758935486327,94002884683.94264
2023-04-26,19277.78331037468,99654996404.15733
2023-04-27,19269.627910386178,166501039764.9064
2023-04-28,19657.16359347087,178078702388.64587
2023-04-29,19442.136539963136,90860589203.81961
2023-04-30,19553.444491109458,54002953697.24482
2023-05-01,19352.266149717503,75217793814.93828
2023-05-02,18938.294273767067,99958914935.08026
2023-05-03,19274.66598248737,85905413583.66031
2023-05-04,19521.706691584644,90812148401.30367
2023-05-05,19205.7954513755,73209892053.75745
2023-05-06,20229.200731504014,108188049756.6498
2023-05-07,19283.47585036711,112996304140.9296
2023-05-08,19280.845312404654,63419885371.96728
2023-05-09,18807.968092330157,116920435932.65756
2023-05-10,18816.848124231823,64960278575.061356
2023-05-11,18832.98029195494,107008674434.10446
2023-05-12,18572.427173024418,95211254214.24721
2023-05-13,18862.156675973514,109822280045.54002
2023-05-14,18670.745855366058,53504526415.16323
2023-05-15,18695.118079461237,51075226796.865906
2023-05-16,18832.23063256276,79209893753.7416
2023-05-17,18981.751537826698,65401599704.15614
2023-05-18,19026.883346636976,69459726025.114
2023-05-19,19045.13525825665,65198138065.710144
2023-05-20,19239.81908699459,54070039058.44844
2023-05-21,19312.417857731343,33103644098.18512
2023-05-22,18974.18866800149,40324283225.143906
2023-05-23,19211.50239249551,54764709528.40625
2023-05-24,19698.762269222447,80079782493.12625
2023-05-25,19293.341318930234,85714627290.30115
2023-05-26,19544.985154261394,80734768349.53008
2023-05-27,19776.32413481548,67534709286.3798
