Date,Price,SMA_20,SMA_50,RSI,Volatility_30,MACD,Signal,MACD_Histogram
2018-03-25,4276,5255.65,6252.0,19.547872340425528,1059.0928611343534,-643.215360256615,-605.0821166993037,-38.13324355731129
2018-03-26,4282,5122.65,6188.74,10.766961651917399,1069.469846103265,-634.9983425353257,-611.0653618665082,-23.93298066881755
2018-03-27,3990,4990.2,6136.38,10.059715204409741,1097.3822063877994,-644.6175070837699,-617.7757909099605,-26.841716173809345
2018-03-28,3695,4865.5,6101.12,9.252217997465152,1127.2586547517153,-668.3405846407131,-627.888749656111,-40.4518349846021
2018-03-29,3710,4761.95,6050.42,13.47150259067358,1138.4488585124404,-678.114043300533,-637.9338083849955,-40.18023491553754
2018-03-30,3221,4629.8,5993.24,9.16552667578658,1159.7009171512204,-717.0520631246018,-653.7574593329168,-63.29460379168495
2018-03-31,3298,4512.2,5928.22,12.35006663705019,1168.6474626481784,-733.2450750879093,-669.6549824839153,-63.59009260399398
2018-04-01,3302,4383.4,5853.42,15.136876006441213,1161.3843013414212,-737.2567502718343,-683.1753360414992,-54.0814142303351
2018-04-02,3166,4255.25,5778.6,15.554329840044133,1149.4179156545226,-742.8470171507288,-695.1096722633451,-47.73734488738364
2018-04-03,3233,4135.7,5710.9,13.20861678004536,1122.3884533573416,-733.4166334558381,-702.7710645018437,-30.64556895399437
2018-04-04,3487,4061.1,5641.56,23.219658976930788,1070.1674275497762,-697.4080236270111,-701.6984563268772,4.290432699866187
2018-04-05,3192,3970.1,5571.52,18.808359270787008,1014.8125589906034,-684.7812435773367,-698.3150137769692,13.5337701996325
2018-04-06,3240,3882.45,5490.72,22.081575246132203,962.9074841273718,-663.2556325004998,-691.3031375216754,28.04750502117554
2018-04-07,3104,3807.6,5405.58,20.776356418173805,934.5407631189947,-649.6813715998387,-682.9787843373081,33.29741273746936
2018-04-08,3217,3747.7,5320.94,26.223619218679843,915.4593150278513,-622.6282455768151,-670.9086765852096,48.280431008394544
2018-04-09,3333,3687.8,5233.9,29.696191698759094,878.0826657075575,-585.0837366348242,-653.7436885951325,68.65995196030838
2018-04-10,3333,3626.7,5154.9,33.936430317848405,844.8947897502533,-549.0009021459728,-632.7951313053006,83.79422915932787
2018-04-11,3425,3568.2,5075.0,42.671009771986974,782.8103629665451,-507.1354232484855,-607.6631896939376,100.52776644545213
2018-04-12,3558,3524.55,4999.92,46.12244897959184,716.2495399288391,-457.94582669634065,-577.7197170944182,119.77389039807758
2018-04-13,4109,3508.55,4950.74,71.95845697329376,643.1686966992337,-370.23379718458773,-536.2225331124522,165.98873592786447
